iter	RMSE
0	21574.71328
1	20620.91004
2	19711.38361
3	18845.59961
4	18028.76929
5	17258.09232
6	16524.51727
7	15825.07734
8	15168.12691
9	14548.21887
10	13950.20012
11	13381.91371
12	12851.0847
13	12352.83296
14	11879.62535
15	11434.31782
16	11012.49581
17	10613.65692
18	10236.87293
19	9880.612849
20	9546.911812
21	9227.295682
22	8927.877766
23	8644.189508
24	8377.962182
25	8131.661666
26	7893.677284
27	7674.547985
28	7468.799891
29	7277.772064
30	7093.677219
31	6922.340003
32	6764.679398
33	6616.514774
34	6477.39019
35	6348.486938
36	6226.217593
37	6112.647944
38	6004.366014
39	5903.818253
40	5809.841373
41	5723.274406
42	5639.680582
43	5561.036862
44	5491.860937
45	5425.137892
46	5363.421033
47	5301.974246
48	5245.321865
49	5192.896913
50	5144.26719
51	5099.572127
52	5056.434802
53	5016.987911
54	4980.247342
55	4946.331069
56	4912.871868
57	4877.600346
58	4846.043126
59	4816.973073
60	4789.038338
61	4764.184728
62	4738.179624
63	4717.797554
64	4696.355638
65	4679.072927
66	4652.932195
67	4633.705019
68	4616.79589
69	4602.360365
70	4588.561568
71	4574.601471
72	4558.665483
73	4541.707484
74	4526.377674
75	4511.569989
76	4500.986331
77	4485.993613
78	4473.069341
79	4463.615977
80	4453.522405
81	4443.922312
82	4420.551282
83	4406.946682
84	4398.548903
85	4390.171109
86	4379.389633
87	4369.954427
88	4358.843639
89	4351.240506
90	4344.20865
91	4336.632572
92	4327.761571
93	4319.642652
94	4312.818359
95	4307.190817
96	4292.597306
97	4286.702049
98	4272.655377
99	4265.303318
100	4259.206559
101	4240.884157
102	4235.304709
103	4219.736959
104	4213.88055
105	4204.748745
106	4195.267846
107	4186.534656
108	4181.326069
109	4168.226402
110	4163.706515
111	4158.585635
112	4144.24053
113	4136.264549
114	4131.170537
115	4126.129283
116	4121.172404
117	4116.406669
118	4110.322609
119	4105.857947
120	4101.112265
121	4096.826807
122	4092.477213
123	4088.724968
124	4084.746796
125	4077.926632
126	4071.4396
127	4067.317562
128	4064.057475
129	4060.542646
130	4055.330529
131	4051.158063
132	4046.451932
133	4042.353507
134	4039.024441
135	4030.212067
136	4027.511269
137	4022.802781
138	4019.268566
139	4014.267672
140	4010.382838
141	4003.617293
142	3999.860749
143	3996.011584
144	3992.761844
145	3988.758857
146	3983.712191
147	3980.567528
148	3977.079527
149	3974.532445
150	3970.107519
151	3966.955514
152	3958.208503
153	3954.529709
154	3950.918463
155	3947.446575
156	3940.579392
157	3935.187846
158	3930.667337
159	3925.740383
160	3921.890132
161	3917.680635
162	3906.71482
163	3903.765171
164	3900.912407
165	3898.267242
166	3895.463339
167	3892.552171
168	3889.563807
169	3885.835568
170	3878.332494
171	3875.933602
172	3871.23286
173	3868.71003
174	3866.232868
175	3862.59398
176	3860.177327
177	3857.334217
178	3852.41805
179	3849.442337
180	3842.820803
181	3839.883267
182	3837.32471
183	3834.992255
184	3832.600116
185	3829.832424
186	3826.995648
187	3824.632199
188	3821.662788
189	3819.350471
190	3816.322391
191	3809.953876
192	3807.48494
193	3805.616792
194	3802.776141
195	3799.554348
196	3795.897395
197	3793.438926
198	3790.954458
199	3788.704082
