iter	Passed	Remaining
0	332	66246
1	467	46327
2	594	39007
3	710	34823
4	843	32888
5	982	31751
6	1102	30396
7	1245	29898
8	1411	29952
9	1586	30141
10	1735	29824
11	1888	29591
12	2060	29633
13	2222	29529
14	2386	29435
15	2534	29141
16	2685	28904
17	3020	30539
18	3209	30575
19	3365	30292
20	3500	29836
21	3652	29548
22	3801	29252
23	3945	28930
24	4114	28798
25	4248	28429
26	4397	28177
27	4548	27939
28	4700	27718
29	4896	27746
30	5152	28090
31	5350	28089
32	5506	27865
33	5648	27575
34	5806	27374
35	5968	27188
36	6121	26967
37	6276	26758
38	6427	26534
39	6575	26300
40	6721	26066
41	6871	25850
42	7022	25641
43	7182	25463
44	7359	25350
45	7518	25171
46	7661	24940
47	7825	24781
48	7998	24649
49	8161	24483
50	8309	24277
51	8475	24122
52	8626	23925
53	8767	23705
54	8911	23493
55	9066	23313
56	9203	23089
57	9363	22925
58	9510	22729
59	9643	22502
60	9792	22313
61	9930	22103
62	10093	21950
63	10223	21723
64	10350	21497
65	10469	21255
66	10618	21077
67	10760	20888
68	10918	20729
69	11065	20549
70	11220	20385
71	11383	20237
72	11528	20056
73	11681	19890
74	11819	19699
75	11971	19533
76	12338	19709
77	12601	19709
78	12751	19531
79	12909	19364
80	13057	19183
81	13221	19025
82	13393	18879
83	13538	18696
84	13683	18512
85	13831	18334
86	13992	18174
87	14152	18011
88	14291	17823
89	14461	17675
90	14611	17501
91	14754	17320
92	14883	17123
93	15031	16950
94	15164	16760
95	15276	16549
96	15476	16433
97	15661	16300
98	15839	16159
99	15947	15947
100	16059	15741
101	16190	15555
102	16308	15358
103	16452	15186
104	16572	14994
105	16697	14806
106	16833	14631
107	16958	14446
108	17067	14248
109	17215	14085
110	17329	13894
111	17476	13731
112	17601	13551
113	17748	13389
114	17860	13201
115	17972	13014
116	18125	12858
117	18247	12680
118	18378	12509
119	18483	12322
120	18598	12142
121	18707	11960
122	18821	11782
123	18928	11601
124	19038	11423
125	19147	11245
126	19297	11092
127	19440	10935
128	19540	10754
129	19642	10576
130	19783	10420
131	19905	10254
132	20222	10187
133	20362	10029
134	20470	9856
135	20607	9697
136	20732	9533
137	20851	9368
138	21016	9223
139	21254	9109
140	21419	8962
141	21660	8847
142	21839	8705
143	22002	8556
144	22145	8399
145	22553	8341
146	22992	8289
147	23324	8195
148	23510	8047
149	23636	7878
150	23794	7721
151	23910	7550
152	24070	7394
153	24314	7262
154	24543	7125
155	24724	6973
156	24945	6832
157	25211	6701
158	25424	6555
159	25679	6419
160	26003	6299
161	26209	6147
162	26530	6022
163	26725	5866
164	26937	5713
165	27067	5544
166	27233	5381
167	27422	5223
168	27588	5060
169	27726	4892
170	27876	4727
171	28043	4565
172	28189	4399
173	28371	4239
174	28479	4068
175	28615	3902
176	28746	3735
177	28862	3567
178	29019	3404
179	29165	3240
180	29305	3076
181	29441	2911
182	29558	2745
183	29695	2582
184	29824	2418
185	29942	2253
186	30092	2091
187	30235	1929
188	30368	1767
189	30543	1607
190	30684	1445
191	30841	1285
192	31003	1124
193	31133	962
194	31276	801
195	31437	641
196	31583	480
197	31726	320
198	31873	160
199	31997	0
